datetime,aqi,co,no,no2,o3,pm2_5,pm10,so2,nh3
2026-06-07 22:43:04.539708,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:43:05.961130,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:43:07.421371,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:43:08.864727,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:43:10.299304,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:43:12.145723,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:43:13.713448,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:43:15.146576,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:43:17.488302,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:43:23.912268,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:43:27.740356,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:43:29.365067,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:43:32.051211,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:43:36.338705,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:43:41.066302,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:43:44.846104,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:43:51.686271,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:43:58.244051,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:43:59.736239,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:03.286910,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:07.454077,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:10.261824,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:12.697619,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:16.468140,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:18.029813,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:19.490256,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:20.998121,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:23.668031,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:25.137692,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:26.612116,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:28.053065,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:29.527713,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:30.985415,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:32.419365,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:34.427577,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:35.897017,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:37.376147,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:38.817913,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:40.292055,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:41.769696,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:43.236441,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:44.680989,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:46.137235,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:47.600640,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:49.087117,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:50.560910,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:52.021675,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:53.448669,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:54.852295,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:56.283783,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:57.739472,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:44:59.280467,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:01.750390,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:03.200082,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:04.673350,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:06.128667,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:07.557307,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:08.998090,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:10.419440,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:11.894224,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
